update,pg_mix_loss,pg_ex_loss
307,95.77199,-1.5297391
308,74.82451,-1.2189314
309,74.92598,-1.5597048
310,-6.400029,-0.83520365
311,-158.84566,5.0916324
312,52.68009,-2.3638673
313,-11.888542,0.6088063
314,-41.93708,1.2715756
315,-4.32807,-0.93355924
316,55.669518,-2.3349433
317,-15.490768,0.0062861205
318,-16.367296,1.8286514
319,-118.662575,1.6983477
320,14.377729,-0.9654217
321,-5.9241586,0.3801813
322,-54.419678,-0.27874404
323,-71.00364,1.966703
324,73.39746,-2.2462564
325,79.8955,-2.2625306
326,-107.53859,2.5410802
327,6.65594,1.2660468
328,64.8,-0.6606879
329,59.46151,-0.71167195
330,-223.8759,3.627877
331,13.788839,-0.3854691
332,-81.54194,2.1738782
333,47.88382,-0.2479672
334,-465.1858,10.720461
335,233.61201,-5.721568
336,-158.86539,3.0130754
337,26.333324,-0.9445888
338,-94.94759,0.7829214
339,-221.01912,3.9674454
340,-20.186382,-1.0018175
341,-63.183228,0.36694264
342,-95.893745,1.1050304
343,-38.423416,-0.24826245
344,-58.538227,0.10190606
345,-79.40684,0.59365827
346,-107.54608,1.0403906
347,-76.34553,0.5772604
348,-79.622246,0.5182135
349,27.610083,-1.9287134
350,64.49727,-2.7282567
351,35.880882,-2.0786405
352,-18.042711,-0.5968733
353,-56.630848,0.22125149
354,-0.121377185,-1.2438078
355,-31.096554,-0.43009907
356,57.635887,-2.5655887
357,0.8129242,-1.2570672
358,-87.07047,0.87175846
359,-86.75542,1.1163322
360,40.344048,-1.9910419
361,-16.890066,-0.9787468
362,-81.423805,0.45513624
363,-46.200035,0.031395815
364,28.10756,-1.5175682
365,-88.47904,1.650275
366,41.615246,-1.7868172
367,131.1352,-3.7635841
368,62.148003,-2.7888415
369,109.012794,-2.2561693
370,-34.167072,-0.092954114
371,-140.48373,3.3402855
372,145.45023,-4.0539045
373,-27.180405,0.53068006
374,67.34003,-1.823315
375,89.40538,-2.5007017
376,48.17829,-0.45103794
377,-13.040815,0.43009633
378,-22.058197,-0.92529315
379,-13.599009,-0.82991344
380,-7.068456,-0.9778272
381,-112.73574,1.7618824
382,-70.15932,0.7752252
383,97.16952,-3.5805137
384,46.52523,-2.2829368
